station_code,average_delay_minutes,pct_right_time,pct_slight_delay,pct_significant_delay,pct_cancelled_unknown
AAY,30.8811,20.0,76.66499999999999,3.33,0.0
AB,16.5,48.335,51.665,0.0,0.0
ABI,14.5,68.22,31.37,0.41,0.0
ABKA,25.5,67.75,20.525,11.729999999999999,0.0
ABR,9.0,85.0,13.335,1.665,0.0
AD,34.375,41.35875,49.68875,8.95125,0.00125
ADI,0.0,96.0,4.0,0.0,0.0
AFK,34.5,16.67,70.0,13.329999999999998,0.0
AGC,25.642857142857142,56.66142857142857,36.184285714285714,7.114285714285714,0.04
AGI,48.0,10.935,61.98,27.08,0.005
AHA,22.0,62.965,27.075,7.35,2.61
AII,11.0,80.0,18.335,1.665,0.0
AJJ,29.72905625,58.554375,31.74375,9.70125,0.00125
AK,429.5,3.605,0.48,36.53,59.385
AKE,39.0,23.33,56.67,20.0,0.0
AKP,117.0,12.125,19.66,68.08,0.135
ALLP,52.0,3.335,63.335,33.33,0.0
ALU,31.0,38.335,51.67,10.0,0.0
ANG,63.5,0.0,75.0,25.0,0.0
ANKL,49.0,18.75,45.835,35.415,0.0
ANND,6.5,94.0,6.0,0.0,0.0
ANV,119.0,6.985,22.689999999999998,70.185,0.14
ANVT,23.25,74.1275,7.9625,16.815,1.095
ARA,55.166666666666664,29.296666666666667,51.69333333333333,18.28,0.7316666666666666
ASN,23.049833333333336,57.55666666666667,38.18666666666667,4.256666666666667,0.0
ASR,16.5,84.255,8.345,7.3975,0.0025
ATP,27.833333333333332,60.26666666666667,32.365,7.368333333333333,0.0
AUB,35.0,34.59,52.349999999999994,13.06,0.0
AVD,0.0,0.27,0.0,0.0,99.73
AWB,35.5,40.0,51.665,8.335,0.0
AWY,54.75,11.8375,72.045,16.1175,0.0
AZ,21.0,77.13999999999999,10.745000000000001,12.114999999999998,0.0
BAB,34.0,43.425,45.620000000000005,10.82,0.135
BALU,103.5206125,0.5475,23.545,75.8375,0.07
BAM,86.49751666666667,5.631666666666667,33.10333333333333,61.218333333333334,0.04666666666666667
BAQ,42.5,21.505,64.38,14.11,0.005
BARH,52.5,3.7,76.64500000000001,17.465,2.19
BAU,33.2686,41.37,44.52,14.11,0.0
BBS,89.125,4.92875,37.660000000000004,57.33,0.08125
BDC,23.0,70.21,20.560000000000002,9.229999999999999,0.005
BDMJ,27.0,3.1500000000000004,5.205,0.41000000000000003,91.235
BDTS,5.57475,57.49,0.97,2.775,38.765
BEAS,24.75,68.11500000000001,23.6525,8.23,0.0025
BGP,9.0,86.71000000000001,5.275,5.82,2.195
BGVN,21.0,30.765,65.385,3.845,0.005
BGZ,39.5,36.165000000000006,47.675,16.165,0.0
BH,12.333333333333334,81.51333333333334,16.418333333333333,2.07,0.0
BHC,72.2665,24.163333333333338,25.05666666666667,50.73333333333333,0.04666666666666667
BHP,78.25,34.615,36.54,28.845,0.0
BHS,44.0,16.299999999999997,69.03999999999999,14.655000000000001,0.005
BINA,26.666666666666668,75.645,15.486666666666666,8.865,0.0033333333333333335
BJU,20.767549999999996,56.665,38.33,5.0,0.005
BKN,3.5,85.295,11.765,2.94,0.0
BKP,47.83245,3.425,74.02000000000001,20.365,2.19
BKSC,5.8,94.0,6.0,0.0,0.0
BL,20.0,57.695,38.379999999999995,3.9275,0.0
BLS,91.7946,7.861666666666667,37.06666666666667,55.026666666666664,0.045000000000000005
BLZ,34.1268,47.535000000000004,34.38,18.080000000000002,0.005
BMO,20.0,63.335,28.335,8.335,0.0
BMT,20.0,83.33500000000001,6.665,10.0,0.0
BNC,32.0,28.335,63.33,8.335,0.0
BNGN,30.5,41.605,44.565,12.104999999999999,1.7249999999999999
BOE,49.666666666666664,33.653333333333336,16.345,17.308333333333334,32.693333333333335
BOJ,40.0,25.174999999999997,60.629999999999995,14.195,0.0
BPF,49.0,8.905,73.83500000000001,17.259999999999998,0.005
BPL,24.75961666666667,66.3225,26.5925,7.084166666666667,0.0008333333333333334
BPP,109.0,9.04,32.739999999999995,58.08,0.14
BPQ,22.158725,69.76125,21.58,8.38625,0.2725
BPRD,74.75,38.4075,30.64,30.09,0.8624999999999999
BQI,17.0,55.0,41.67,3.335,0.0
BRC,14.45925,84.313,11.007000000000001,4.68,0.001
BRYA,48.0,29.865,44.91,23.035,2.19
BRZ,41.0,44.93,37.53,17.53,0.01
BSL,85.13541666666667,35.876666666666665,33.57833333333333,30.545,0.0
BSP,299.5,22.055,10.05,67.9,0.0
BSX,52.5,6.67,73.33500000000001,20.0,0.0
BTE,28.26735,62.167500000000004,26.61,11.2225,0.0
BTI,27.5,68.63,21.095000000000002,10.275,0.0
BUP,26.0,54.54,33.835,9.020000000000001,2.605
BVI,19.7999,54.963,41.278999999999996,3.758,0.001
BVQ,12.5,69.23,30.77,0.0,0.0
BWM,32.0,66.67,15.0,18.335,0.0
BWN,9.5,50.0,50.0,0.0,0.0
BWT,62.0,39.615,36.83833333333333,23.546666666666667,0.0
BXN,29.25,64.61,23.825,11.565000000000001,0.0
BXP,29.5,52.46,36.23,11.309999999999999,0.0
BXR,58.5,28.513333333333335,47.17666666666667,23.58,0.73
BYNR,31.44415,25.0,63.195,11.805,0.0
BZA,55.2186875,29.42625,44.185625,26.245,0.1440625
BZU,45.5,21.67,58.33,20.0,0.0
CAN,38.0,25.0,63.195,11.805,0.0
CAP,111.0,1.235,37.260000000000005,61.370000000000005,0.135
CBE,14.899899999999999,87.338,8.799,3.808,0.05500000000000001
CBF,16.0,55.78333333333334,41.72,2.4966666666666666,0.0033333333333333335
CCH,26.3465,23.075,76.925,0.0,0.0
CD,54.340975,33.585,44.91,21.2325,0.27249999999999996
CDG,13.0,84.93,11.780000000000001,3.285,0.005
CGL,10.0,74.19166666666666,24.985,0.7316666666666666,0.09166666666666667
CGY,42.25,53.667500000000004,35.0575,11.275,0.0025
CHE,93.0,9.65,28.564999999999998,61.715,0.07
CKI,36.4495,28.335,56.665,15.0,0.0
CLT,21.5,43.055,50.695,6.25,0.0
CLX,108.5,8.765,33.975,57.125,0.135
CNB,24.16885,61.01428571428572,29.217857142857145,9.455,0.31285714285714283
CNGR,41.53125,58.635000000000005,30.0875,11.2775,0.0
CPK,29.208525,42.6875,47.7725,9.5375,0.0025
CPP,98.5,12.239999999999998,34.57,53.06,0.135
CRP,5.0,92.0,8.0,0.0,0.0
CRY,11.0,83.33500000000001,10.0,6.665,0.0
CSMT,70.21134166666667,76.2725,7.5025,16.132499999999997,0.09250000000000001
CSN,48.5,16.3,68.495,15.07,0.135
CTC,81.16666666666667,20.82166666666667,30.395,48.64666666666667,0.13666666666666666
CTO,43.0,48.7125,38.8975,12.389999999999999,0.0
CUR,28.46875,55.33,29.78,14.89,0.0
CVP,13.583333333333334,72.76833333333333,26.493333333333336,0.7383333333333333,0.0016666666666666668
DAA,41.5,23.560000000000002,62.74,13.565,0.135
DAB,50.5,8.335,75.0,16.665,0.0
DBA,36.31065,31.78,55.755,12.33,0.135
DBRG,8.5,83.6175,9.695,6.6850000000000005,0.0025
DD,23.780728571428572,52.77285714285714,40.39857142857142,6.825714285714286,0.0014285714285714286
DDU,21.03170625,79.52125,12.074375,8.129375,0.274375
DEC,9.5,98.33500000000001,0.0,1.665,0.0
DG,13.333333333333334,74.3525,22.2625,3.385,0.0
DGLE,25.0,70.81,16.11,13.075000000000001,0.005
DGR,19.38,64.665,31.835,3.5,0.0
DHD,23.44558333333333,61.61166666666667,30.205000000000002,8.18,0.0016666666666666668
DHN,8.875,88.125,8.5175,3.3575,0.0
DHO,19.5,70.7075,23.1025,6.1875,0.0025
DJG,37.0,32.295,53.33,14.375,0.0
DKAE,149.0,0.0,26.925,73.075,0.0
DKZ,33.0,49.04,40.275,10.685,0.005
DLGN,34.769,30.77,61.540000000000006,7.69,0.0
DLN,22.5,46.665,41.67,11.665,0.0
DMM,21.871933333333335,78.69166666666666,13.938333333333333,7.368333333333333,0.0
DMV,29.32525,42.7375,47.795,9.4675,0.0
DNR,5.0,90.83500000000001,5.0,4.1675,0.0
DPJ,42.0,23.33,53.33,23.33,0.01
DPU,31.940275,43.542500000000004,45.7725,10.685,0.0
DQG,78.75,25.32,42.76,31.82,0.1
DR,21.5,65.494,29.137,5.369,0.0
DRD,23.5,46.03,49.455,4.5200000000000005,0.0
DRH,22.0,60.91,29.13,7.35,2.61
DUD,45.8811,21.665,61.665,16.665,0.0
ED,29.1,49.338,44.32899999999999,6.3340000000000005,0.0
EE,86.8670125,6.6075,45.4225,47.9,0.07
ERL,39.88195,13.335,81.66499999999999,5.0,0.0
ERN,41.8125,32.525,54.919999999999995,12.555,0.0
ERS,35.0,15.0,71.66499999999999,13.329999999999998,0.005
ET,33.5,66.7875,20.8575,12.3575,0.00125
FA,11.0,75.0,23.335,1.665,0.0
FDB,32.115457142857146,63.82142857142857,23.032857142857143,13.144285714285715,0.0014285714285714286
FDK,39.0,59.18000000000001,23.425,17.395000000000003,0.0
FKG,14.5,83.89,9.975,6.135000000000001,0.0
FKM,36.0,28.064999999999998,59.07,12.870000000000001,0.0
FLK,29.0315,46.769999999999996,38.81,14.225000000000001,0.195
FUT,55.5,1.235,72.92500000000001,23.65,2.19
FZR,19.5,75.75,16.435,7.805,0.005
GAYA,14.0,86.27,8.307500000000001,5.4225,0.0
GBD,40.6495,20.0,65.0,15.0,0.0
